series_id,year,period,value
CIU2010000300000I,2023,Q04,173.2
CIU2010000300000I,2023,Q03,172.3
CIU2010000300000I,2023,Q02,170.7
CIU2010000300000I,2023,Q01,169.0
CIU2010000300000I,2022,Q04,166.6
CIU2010000300000I,2022,Q03,164.9
CIU2010000300000I,2022,Q02,162.1
CIU2010000300000I,2022,Q01,159.4
CIU2010000300000I,2021,Q04,155.9
CIU2010000300000I,2021,Q03,153.1
CIU2010000300000I,2021,Q02,150.1
CIU2010000300000I,2021,Q01,147.8
CIU2010000300000I,2020,Q04,145.6
CIU2010000300000I,2020,Q03,144.3
CIU2010000300000I,2020,Q02,143.2
CIU2010000300000I,2020,Q01,142.2
CIU2010000300000I,2019,Q04,140.6
CIU2010000300000I,2019,Q03,139.2
CIU2010000300000I,2019,Q02,138.5
CIU2010000300000I,2019,Q01,137.2
CIU2010000300000I,2018,Q04,135.6
CIU2010000300000I,2018,Q03,134.5
CIU2010000300000I,2018,Q02,133.5
CIU2010000300000I,2018,Q01,132.7
CIU2010000300000I,2017,Q04,130.9
CIU2010000300000I,2017,Q03,130.0
CIU2010000300000I,2017,Q02,129.2
CIU2010000300000I,2017,Q01,128.6
CIU2010000300000I,2016,Q04,127.2
CIU2010000300000I,2016,Q03,126.5
CIU2010000300000I,2016,Q02,125.5
CIU2010000300000I,2016,Q01,124.4
CIU2010000300000I,2015,Q04,123.2
CIU2010000300000I,2015,Q03,122.6
CIU2010000300000I,2015,Q02,122.1
CIU2010000300000I,2015,Q01,122.0
CIU2010000300000I,2014,Q04,121.1
CIU2010000300000I,2014,Q03,120.5
CIU2010000300000I,2014,Q02,119.6
CIU2010000300000I,2014,Q01,119.2
CIU2010000300000I,2013,Q04,119.0
CIU2010000300000I,2013,Q03,118.4
CIU2010000300000I,2013,Q02,118.3
CIU2010000300000I,2013,Q01,117.9
CIU2010000300000I,2012,Q04,117.4
CIU2010000300000I,2012,Q03,116.8
CIU2010000300000I,2012,Q02,116.4
CIU2010000300000I,2012,Q01,116.0
CIU2010000300000I,2011,Q04,115.4
CIU2010000300000I,2011,Q03,115.0
CIU2010000300000I,2011,Q02,114.7
